page,institution,sn,programme,code,admission_requirements,minimum_points,capacity,duration_years,problems
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",1.,Bachelor of Arts with Education,SUM01,"Two principal passes in the following subjects: History, English, Geography, Kiswahili, Elimu ya Dini ya Kiislam or Arabic.",4.0,400,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",2.,Bachelor of Science with Education,SUM02,"Two principal passes in the following subjects: Physics, Advanced Mathematics, Chemistry,Biology, Computer Science or Geography.",4.0,250,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",3.,Bachelor of Arts in Counselling Psychology,SUM03,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,70,3,
26,"Abdulrahman Al- Sumait University (SUMAIT), Zanzibar",4.,Bachelor of Science in Information Technology,SUM04,"Two principal passes in Physics, Advanced Mathematics, Geography, Biology, Chemistry, Economics or Accounting.",4.0,100,3,
27,"Aga Khan University (AKU), Dar es Salaam",1.,Bachelor of Science in Nursing,AKU01,"Three principal passes in Chemistry, Biology and Physics with a minimum of 6 points: A minimum of C grade in Chemistry and Biology and at least D grade in Physics at A-Level. An applicant with a pass in English or Mathematics at O-Level will have an added advantage.",6.0,30,4,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",1.,Bachelor of Arts with Education,AM001,"Two principal passes in the following subjects:History, Geography, Kiswahili, English Language, or Education.",4.0,400,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",2.,Bachelor of Business Administration,AM003,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Literature in English, French, Arabic, Fine Arts, Economics, Commerce, Accountancy, Physics, Chemistry, Biology, Advanced Mathematics, Agriculture, Computer Science or Nutrition.",4.0,110,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",3.,Bachelor of Education in Special Needs,AM006,"Two principal passes in the following subjects: History, Geography, Kiswahili, English Language, Education, or Commerce.",4.0,300,3,
28,"Archbishop Mihayo University College of Tabora (AMUCTA), Tabora",4.,"Bachelor of Arts in Geography, Environment and Natural Resources Management",AM007,"Two principal passess from any two subjects, one must be Geography.",4.0,150,3,
29,"Ardhi University (ARU), Dar es Salaam",1.,Bachelor of Architecture,AR001,"Two principal passes in any of the following subjects: Advanced Mathematics, Physics, Chemistry, Biology, Geography, Computer Science or Fine Arts. In addition, an applicant must have at least a subsidiary level pass in Advanced Mathematics or Basic Applied Mathematics at A- level or a minimum of “C” grade in Basic Mathematics at O- Level.",4.0,70,5,
